max_depth,min_samples_leaf,train_auc,val_auc,chosen_flag
3,50,0.6899314901109619,0.6679666519700189,True
3,100,0.6899314901109619,0.6679666519700189,False
3,200,0.6899314901109619,0.6679666519700189,False
5,50,0.7192397166973858,0.6565714056675619,False
5,100,0.7207606061736278,0.6548814581746764,False
5,200,0.7121992359090462,0.6562763036594653,False
7,50,0.758062061375553,0.6358486312076636,False
7,100,0.7366687393501273,0.6483260852138363,False
7,200,0.7157109591885473,0.6592814341256162,False
10,50,0.7844110637876222,0.6211641749168304,False
10,100,0.7413721906742604,0.6467198084091546,False
10,200,0.7157109591885473,0.6592814341256162,False
